技A,技B
正拳,裏拳
正拳,鬼走り
正拳,アームハンマー
正拳,キッチンシンク
正拳,三龍旋
正拳,切り返し
正拳,十字切り
正拳,払い抜け
正拳,かすみ二段
正拳,なで斬り
正拳,龍尾返し
正拳,逆風の太刀
正拳,トマホーク
正拳,夜叉横断
正拳,ヨーヨー
正拳,回し打ち
正拳,ハートビート
正拳,海老殺し
正拳,骨砕き
正拳,どら鳴らし
正拳,痛打
正拳,チャージ
正拳,高波返し
正拳,サイドワインダー
正拳,瞬速の矢
正拳,ニードルショット
裏拳,正拳
裏拳,裏拳
裏拳,胴抜き
裏拳,ボコボコ
裏拳,爆砕鉄拳
裏拳,ハートブレイク
裏拳,キックラッシュ
裏拳,コークスクリュー
裏拳,蹴上がり
裏拳,三角蹴り
裏拳,あびせ倒し
裏拳,キッチンシンク
裏拳,滝登り
裏拳,カムイ
裏拳,切り返し
裏拳,十字切り
裏拳,払い抜け
裏拳,かすみ二段
裏拳,なで斬り
裏拳,クロスブレイク
裏拳,みじん斬り
裏拳,龍尾返し
裏拳,かぶと割り
裏拳,逆風の太刀
裏拳,トマホーク
裏拳,ハイパーハンマー
裏拳,一人時間差
裏拳,アクセルターン
裏拳,スカイドライヴ
裏拳,大強撃
裏拳,ヨーヨー
裏拳,高速ナブラ
裏拳,回し打ち
裏拳,ハートビート
裏拳,海老殺し
裏拳,骨砕き
裏拳,どら鳴らし
裏拳,痛打
裏拳,二段突き
裏拳,チャージ
裏拳,高波返し
裏拳,脳削り
裏拳,エイミング
裏拳,スカッシュ
裏拳,極楽連衝
裏拳,狙い撃ち
裏拳,イド・ブレイク
裏拳,サイドワインダー
裏拳,影矢
裏拳,針千本
裏拳,連射
裏拳,ニードルショット
裏拳,ウッドストック
裏拳,ウォーターハンマー
裏拳,焼殺
裏拳,召雷
裏拳,天雷
裏拳,樹
裏拳,石
裏拳,炎
裏拳,音
裏拳,音波剣
裏拳,音波弾
胴抜き,裏拳
胴抜き,鬼走り
胴抜き,アームハンマー
胴抜き,キッチンシンク
胴抜き,三龍旋
胴抜き,断滅
胴抜き,切り返し
胴抜き,十字切り
胴抜き,払い抜け
胴抜き,スマッシュ
胴抜き,かすみ二段
胴抜き,ファイナルレター
胴抜き,デッドエンド
胴抜き,なで斬り
胴抜き,龍尾返し
胴抜き,逆風の太刀
胴抜き,ブルクラッシュ
胴抜き,ベアクラッシュ
胴抜き,マルチウェイ
胴抜き,トマホーク
胴抜き,夜叉横断
胴抜き,ヨーヨー
胴抜き,スカイランデヴー
胴抜き,マキ割りトルネード
胴抜き,回し打ち
胴抜き,ハートビート
胴抜き,海老殺し
胴抜き,骨砕き
胴抜き,どら鳴らし
胴抜き,痛打
胴抜き,かめごうら割り
胴抜き,からすとうさぎ
胴抜き,チャージ
胴抜き,高波返し
胴抜き,活殺獣閃衝
胴抜き,無双三段
胴抜き,イド・ブレイク
胴抜き,サイドワインダー
胴抜き,瞬速の矢
胴抜き,水晶のピラミッド
胴抜き,ニードルショット
熊掌打,裏拳
熊掌打,胴抜き
熊掌打,鬼走り
熊掌打,爆砕鉄拳
熊掌打,ハートブレイク
熊掌打,アームハンマー
熊掌打,コークスクリュー
熊掌打,あびせ倒し
熊掌打,キッチンシンク
熊掌打,滝登り
熊掌打,三龍旋
熊掌打,カムイ
熊掌打,断滅
熊掌打,切り返し
熊掌打,十字切り
熊掌打,払い抜け
